YM,USUL FYP
202001,4.16
202002,3.28
202003,2.8
202004,2
202005,2.68
202006,3.29
202007,4.1
202008,3.79
202009,5.54
202010,5.11
202011,6.3
202012,7.55
202101,10.45
202102,7.47
202103,9.62
202104,6.39
202105,9.91
202106,6.1
202107,8.75
202108,9.22
202109,8.68
202110,7.45
202111,8.05
202112,8.02
202201,9.68
202202,4.87
202203,6.47
202204,3.95
202205,2.52
202206,2.09
202207,1.66
202208,1.89
202209,1.9
202210,1.36
202211,1.39
202212,1.43
202301,1.15
202302,1.48
202303,2.11
202304,1.36
202305,1.83
202306,2.54
202307,2.88
202308,0.74
202309,0.52
202310,0.54
202311,0.48
202312,0.55
202401,0.81
202402,0.46
202403,1.52
202404,1.14
202405,0.89
202406,0.78
